title,harga_asli,harga_promo,price,selisih_harga,persen_diskon,status
SAMSUNG SMARTPHONE GALAXY A57 5G SERIES,7099000,,7099000,,0,Normal
SAMSUNG SMARTPHONE GALAXY A37 SERIES,6099000,,6099000,,0,Normal
SAMSUNG SMARTPHONE GALAXY Z FOLD7 5G SERIES,28499000,,28499000,,0,Normal
SAMSUNG SMARTPHONE GALAXY Z FLIP7 5G SERIES,17999000,,17999000,,0,Normal
SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES,21009000,,21009000,,0,Normal
SAMSUNG SMARTPHONE GALAXY S25+ SERIES,16509000,,16509000,,0,Normal
SAMSUNG SMARTPHONE GALAXY S25 SERIES,14009000,,14009000,,0,Normal
SAMSUNG SMARTPHONE GALAXY S25 FE SERIES,10999000,,10999000,,0,Normal
SAMSUNG SMARTPHONE GALAXY A56 5G SERIES,6809000,,6809000,,0,Normal
SAMSUNG SMARTPHONE GALAXY A36 5G SERIES,5809000,,5809000,,0,Normal
SAMSUNG SMARTPHONE GALAXY A26 5G 8/265GB SERIES,5009000,,5009000,,0,Normal
SAMSUNG SMARTPHONE GALAXY A17 5G SERIES,4499000,,4499000,,0,Normal
SAMSUNG SMARTPHONE GALAXY A17 SERIES,3499000,,3499000,,0,Normal
SAMSUNG SMARTPHONE GALAXY A07 SERIES,1599000,,1599000,,0,Normal
OPPO SMARTPHONE RENO 15 PRO MAX SERIES,13999000,,13999000,,0,Normal
OPPO SMARTPHONE RENO 15 5G SERIES,8699000,,8699000,,0,Normal
OPPO SMARTPHONE RENO 15 F 5G SERIES,5999000,,5999000,,0,Normal
OPPO SMARTPHONE FIND X9 PRO SERIES,19999000,,19999000,,0,Normal
OPPO SMARTPHONE FIND X9 SERIES,14999000,,14999000,,0,Normal
OPPO SMARTPHONE FIND N5 16/512 GB SERIES,28009000,,28009000,,0,Normal
OPPO SMARTPHONE RENO13 5G 12/256GB SERIES,9009000,,9009000,,0,Normal
OPPO SMARTPHONE A6 PRO 5G SERIES,5299000,,5299000,,0,Normal
OPPO SMARTPHONE A6 PRO SERIES,4599000,,4599000,,0,Normal
OPPO SMARTPHONE A6X SERIES,2199000,,2199000,,0,Normal
